GPU: NVIDIA GeForce RTX 5090
VRAM cap: 30.0GB (88% of 34GB)
BigBaseline: 63,486,976 params
Resumed from ./weights_frank/best.pt: step=90000, val_loss=6.9694

Training from step 90000 to 500000
Batch: 8 x 4 = 32
============================================================
`trust_remote_code` is not supported anymore.
Please check that the Hugging Face dataset 'openwebtext' isn't based on a loading script and remove `trust_remote_code`.
If the dataset is based on a loading script, please ask the dataset author to remove it and convert it to a standard format like Parquet.
Token indices sequence length is longer than the specified maximum sequence length for this model (1100 > 1024). Running this sequence through the model will result in indexing errors
  step= 122500  CE=5.6966  lr=2.73e-04  spd=6.9s/s  ETA=15.3h
  step= 123000  CE=5.7023  lr=2.73e-04  spd=6.9s/s  ETA=15.3h
  step= 123500  CE=5.6895  lr=2.72e-04  spd=6.9s/s  ETA=15.2h
  step= 124000  CE=5.6722  lr=2.72e-04  spd=6.9s/s  ETA=15.2h
  step= 124500  CE=5.6875  lr=2.72e-04  spd=6.9s/s  ETA=15.2h
  step= 125000  CE=5.6968  lr=2.72e-04  spd=6.9s/s  ETA=15.1h
  step= 125500  CE=5.6681  lr=2.71e-04  spd=6.9s/s  ETA=15.1h
  step= 126000  CE=5.7074  lr=2.71e-04  spd=6.9s/s  ETA=15.1h
  step= 126500  CE=5.6826  lr=2.71e-04  spd=6.9s/s  ETA=15.1h
  step= 127000  CE=5.7271  lr=2.70e-04  spd=6.9s/s  ETA=15.0h
  step= 127500  CE=5.6705  lr=2.70e-04  spd=6.9s/s  ETA=15.0h
  step= 128000  CE=5.6744  lr=2.70e-04  spd=6.9s/s  ETA=15.0h
  step= 128500  CE=5.6660  lr=2.70e-04  spd=6.9s/s  ETA=15.0h
  step= 129000  CE=5.7015  lr=2.69e-04  spd=6.9s/s  ETA=14.9h
  step= 129500  CE=5.6924  lr=2.69e-04  spd=6.9s/s  ETA=14.9h
  step= 130000  CE=5.6965  lr=2.69e-04  spd=6.9s/s  ETA=14.9h
  >>> VAL=6.6444 (best=6.7052) PPL=768.4
  step= 130500  CE=5.6579  lr=2.68e-04  spd=6.9s/s  ETA=14.9h
  step= 131000  CE=5.6500  lr=2.68e-04  spd=6.9s/s  ETA=14.9h
  step= 131500  CE=5.6803  lr=2.68e-04  spd=6.9s/s  ETA=14.8h
  step= 132000  CE=5.6696  lr=2.68e-04  spd=6.9s/s  ETA=14.8h
  step= 132500  CE=5.6363  lr=2.67e-04  spd=6.9s/s  ETA=14.8h
  step= 133000  CE=5.6792  lr=2.67e-04  spd=6.9s/s  ETA=14.8h
  step= 133500  CE=5.6692  lr=2.67e-04  spd=6.9s/s  ETA=14.7h
  step= 134000  CE=5.6469  lr=2.66e-04  spd=6.9s/s  ETA=14.7h
  step= 134500  CE=5.6817  lr=2.66e-04  spd=6.9s/s  ETA=14.7h
  step= 135000  CE=5.6319  lr=2.66e-04  spd=6.9s/s  ETA=14.7h
  step= 135500  CE=5.6824  lr=2.66e-04  spd=6.9s/s  ETA=14.7h
  step= 136000  CE=5.6592  lr=2.65e-04  spd=6.9s/s  ETA=14.6h
  step= 136500  CE=5.6437  lr=2.65e-04  spd=6.9s/s  ETA=14.6h
  step= 137000  CE=5.6391  lr=2.65e-04  spd=6.9s/s  ETA=14.6h
  step= 137500  CE=5.6710  lr=2.64e-04  spd=6.9s/s  ETA=14.6h
  step= 138000  CE=5.6679  lr=2.64e-04  spd=6.9s/s  ETA=14.6h
  step= 138500  CE=5.6585  lr=2.64e-04  spd=6.9s/s  ETA=14.5h
  step= 139000  CE=5.6611  lr=2.63e-04  spd=6.9s/s  ETA=14.5h
  step= 139500  CE=5.6406  lr=2.63e-04  spd=6.9s/s  ETA=14.5h
  step= 140000  CE=5.6665  lr=2.63e-04  spd=6.9s/s  ETA=14.5h
  >>> VAL=6.5606 (best=6.6444) PPL=706.7
  step= 140500  CE=5.6440  lr=2.62e-04  spd=6.9s/s  ETA=14.5h
  step= 141000  CE=5.6651  lr=2.62e-04  spd=6.9s/s  ETA=14.4h
  step= 141500  CE=5.6332  lr=2.62e-04  spd=6.9s/s  ETA=14.4h
  step= 142000  CE=5.6306  lr=2.62e-04  spd=6.9s/s  ETA=14.4h
  step= 142500  CE=5.6386  lr=2.61e-04  spd=6.9s/s  ETA=14.4h
  step= 143000  CE=5.6524  lr=2.61e-04  spd=6.9s/s  ETA=14.4h
  step= 143500  CE=5.6297  lr=2.61e-04  spd=6.9s/s  ETA=14.3h
  step= 144000  CE=5.6530  lr=2.60e-04  spd=6.9s/s  ETA=14.3h
  step= 144500  CE=5.6160  lr=2.60e-04  spd=6.9s/s  ETA=14.3h
  step= 145000  CE=5.6782  lr=2.60e-04  spd=6.9s/s  ETA=14.3h
  step= 145500  CE=5.6430  lr=2.59e-04  spd=6.9s/s  ETA=14.2h
  step= 146000  CE=5.6156  lr=2.59e-04  spd=6.9s/s  ETA=14.2h
  step= 146500  CE=5.6465  lr=2.59e-04  spd=6.9s/s  ETA=14.2h
  step= 147000  CE=5.6536  lr=2.58e-04  spd=6.9s/s  ETA=14.2h
  step= 147500  CE=5.6626  lr=2.58e-04  spd=6.9s/s  ETA=14.1h
  step= 148000  CE=5.6269  lr=2.58e-04  spd=6.9s/s  ETA=14.1h
  step= 148500  CE=5.6367  lr=2.57e-04  spd=6.9s/s  ETA=14.1h
  step= 149000  CE=5.6469  lr=2.57e-04  spd=6.9s/s  ETA=14.1h
  step= 149500  CE=5.6652  lr=2.57e-04  spd=6.9s/s  ETA=14.1h
